[2017-11-17 09:46:09,496] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,503] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,509] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,516] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,520] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,526] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,530] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,536] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,542] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,549] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,556] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,562] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,569] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,575] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,582] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,588] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,594] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,599] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,605] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
[2017-11-17 09:46:09,612] [12824] [wssc::init::117] [INFO]: {'username': 'vm', 'rto': '1', 'cmd': 'notepad', 'vmid': '1', 'logconf': './wssc.log.conf', 'db_name': 'vm2', 'db_ip': '192.168.1.21', 'serverid': '1', 'password': '123456', 'isdone': '1'}
